Team,Pos,No,Name,Height,Weight,DOB (YYYY-MM-DD),From
Brooklyn Nets,F,42,"Thomas, Lance (FA)",6 ft 8 in (2.03 m),235 lb (107 kg),1988–04–24,Duke
Brooklyn Nets,F/C,45,"Hall, Donta (FA)",6 ft 9 in (2.06 m),229 lb (104 kg),1997–08–07,Alabama
Brooklyn Nets,F,0,"Kurucs, Rodions",6 ft 9 in (2.06 m),228 lb (103 kg),1998–02–05,Latvia
Brooklyn Nets,G/F,13,"Musa, Džanan",6 ft 9 in (2.06 m),217 lb (98 kg),1999–05–08,Bosnia and Herzegovina
Brooklyn Nets,F,7,"Durant, Kevin ",6 ft 10 in (2.08 m),240 lb (109 kg),1988–09–29,Texas
Brooklyn Nets,C,31,"Allen, Jarrett",6 ft 11 in (2.11 m),243 lb (110 kg),1998–04–21,Texas
Brooklyn Nets,F/C,33,"Claxton, Nicolas ",6 ft 11 in (2.11 m),215 lb (98 kg),1999–04–17,Georgia
Brooklyn Nets,C,6,"Jordan, DeAndre ",6 ft 11 in (2.11 m),265 lb (120 kg),1988–07–21,Texas A&M
New York Knicks,G,9,"Barrett, RJ",6 ft 6 in (1.98 m),214 lb (97 kg),2000–07–14,Duke
New York Knicks,F,17,"Brazdeikis, Ignas",6 ft 6 in (1.98 m),221 lb (100 kg),1999–01–08,Michigan
New York Knicks,G/F,25,"Bullock, Reggie",6 ft 6 in (1.98 m),205 lb (93 kg),1991–03–16,North Carolina
New York Knicks,G,21,"Dotson, Damyean (FA)",6 ft 5 in (1.96 m),210 lb (95 kg),1994–05–06,Houston
New York Knicks,G,2,"Ellington, Wayne",6 ft 4 in (1.93 m),207 lb (94 kg),1987–11–29,North Carolina
New York Knicks,F,67,"Gibson, Taj",6 ft 9 in (2.06 m),232 lb (105 kg),1985–06–24,Southern California
New York Knicks,G/F,3,"Harkless, Maurice (FA)",6 ft 7 in (2.01 m),220 lb (100 kg),1993–05–11,St. John's
New York Knicks,G,–,"Harper, Jared (TW)",5 ft 10 in (1.78 m),175 lb (79 kg),1997–09–14,Auburn
New York Knicks,F,20,"Knox, Kevin",6 ft 7 in (2.01 m),215 lb (98 kg),1999–08–11,Kentucky
New York Knicks,G,11,"Ntilikina, Frank",6 ft 4 in (1.93 m),200 lb (91 kg),1998–07–28,France
New York Knicks,G,6,"Payton, Elfrid",6 ft 3 in (1.91 m),195 lb (88 kg),1994–02–22,Louisiana
New York Knicks,G/F,–,"Pinson, Theo",6 ft 5 in (1.96 m),212 lb (96 kg),1995–11–05,North Carolina
New York Knicks,F,1,"Portis, Bobby",6 ft 10 in (2.08 m),250 lb (113 kg),1995–02–10,Arkansas
New York Knicks,F,30,"Randle, Julius",6 ft 8 in (2.03 m),250 lb (113 kg),1994–11–29,Kentucky
New York Knicks,C,23,"Robinson, Mitchell",7 ft 0 in (2.13 m),240 lb (109 kg),1998–04–01,Chalmette HS (LA)
New York Knicks,G,4,"Smith, Dennis",6 ft 2 in (1.88 m),205 lb (93 kg),1997–11–25,North Carolina State
New York Knicks,F,45,"Wooten, Kenny (TW)",6 ft 8 in (2.03 m),235 lb (107 kg),1998–04–17,Oregon
Philadelphia 76ers,G/F,45,"Broekhoff, Ryan",6 ft 6 in (1.98 m),215 lb (98 kg),1991–07–23,Valparaiso
Philadelphia 76ers,G,20,"Burks, Alec",6 ft 6 in (1.98 m),214 lb (97 kg),1990–08–20,Colorado
Philadelphia 76ers,F/C,21,"Embiid, Joel",7 ft 0 in (2.13 m),280 lb (127 kg),1994–03–16,Kansas
Philadelphia 76ers,F,12,"Harris, Tobias",6 ft 8 in (2.03 m),226 lb (103 kg),1992–07–15,Tennessee
Philadelphia 76ers,F/C,42,"Horford, Al",6 ft 9 in (2.06 m),240 lb (109 kg),1986–06–03,Florida
Philadelphia 76ers,G/F,30,"Korkmaz, Furkan",6 ft 7 in (2.01 m),202 lb (92 kg),1997–07–24,Turkey
Philadelphia 76ers,G/F,18,"Milton, Shake",6 ft 5 in (1.96 m),205 lb (93 kg),1996–09–26,SMU
Philadelphia 76ers,G,19,"Neto, Raul",6 ft 1 in (1.85 m),180 lb (82 kg),1992–05–19,Brazil
Philadelphia 76ers,F/C,9,"O'Quinn, Kyle",6 ft 9 in (2.06 m),250 lb (113 kg),1990–03–26,Norfolk State
Philadelphia 76ers,F,14,"Pelle, Norvel",6 ft 10 in (2.08 m),231 lb (105 kg),1993–02–03,Price HS (CA)
Philadelphia 76ers,G,0,"Richardson, Josh",6 ft 5 in (1.96 m),200 lb (91 kg),1993–09–15,Tennessee
Philadelphia 76ers,F,40,"Robinson, Glenn",6 ft 6 in (1.98 m),222 lb (101 kg),1994–01–08,Michigan
Philadelphia 76ers,F,1,"Scott, Mike",6 ft 7 in (2.01 m),237 lb (108 kg),1988–07–16,Virginia
Philadelphia 76ers,G,35,"Shayok, Marial (TW)",6 ft 5 in (1.96 m),196 lb (89 kg),1995–07–26,Iowa State
Philadelphia 76ers,G/F,25,"Simmons, Ben",6 ft 10 in (2.08 m),240 lb (109 kg),1996–07–20,LSU
Philadelphia 76ers,G,5,"Smith, Zhaire",6 ft 3 in (1.91 m),205 lb (93 kg),1999–06–04,Texas Tech
Philadelphia 76ers,G,22,"Thybulle, Matisse",6 ft 5 in (1.96 m),200 lb (91 kg),1997–03–04,Washington
Toronto Raptors,F,3,"Anunoby, OG",6 ft 7 in (2.01 m),232 lb (105 kg),1997–07–17,Indiana
Toronto Raptors,F/C,25,"Boucher, Chris",6 ft 9 in (2.06 m),200 lb (91 kg),1993–01–11,Oregon
Toronto Raptors,G/F,12,"Brissett, Oshae  (TW)",6 ft 7 in (2.01 m),210 lb (95 kg),1998–06–20,Syracuse
Toronto Raptors,G,0,"Davis, Terence",6 ft 4 in (1.93 m),201 lb (91 kg),1997–05–16,Mississippi
Toronto Raptors,C,33,"Gasol, Marc",6 ft 11 in (2.11 m),255 lb (116 kg),1985–01–29,Lausanne CS (TN)
Toronto Raptors,F/C,20,"Hernandez, Dewan",6 ft 10 in (2.08 m),235 lb (107 kg),1996–12–09,Miami (FL)
Toronto Raptors,F,4,"Hollis-Jefferson, Rondae",6 ft 6 in (1.98 m),217 lb (98 kg),1995–01–03,Arizona
Toronto Raptors,C,9,"Ibaka, Serge",7 ft 0 in (2.13 m),235 lb (107 kg),1989–09–18,Republic of the Congo
Toronto Raptors,G/F,5,"Johnson, Stanley",6 ft 6 in (1.98 m),242 lb (110 kg),1996–05–29,Arizona
Toronto Raptors,G,7,"Lowry, Kyle",6 ft 0 in (1.83 m),196 lb (89 kg),1986–03–25,Villanova
Toronto Raptors,G,22,"McCaw, Patrick ",6 ft 7 in (2.01 m),181 lb (82 kg),1995–10–25,UNLV
Toronto Raptors,G/F,13,"Miller, Malcolm",6 ft 7 in (2.01 m),210 lb (95 kg),1993–03–06,Holy Cross
Toronto Raptors,G,24,"Powell, Norman",6 ft 3 in (1.91 m),215 lb (98 kg),1993–05–25,UCLA
Toronto Raptors,F,43,"Siakam, Pascal",6 ft 9 in (2.06 m),230 lb (104 kg),1994–04–02,New Mexico State
Toronto Raptors,G,21,"Thomas, Matt",6 ft 4 in (1.93 m),190 lb (86 kg),1994–08–04,Iowa State
Toronto Raptors,G,23,"VanVleet, Fred",6 ft 1 in (1.85 m),197 lb (89 kg),1994–02–25,Wichita State
Toronto Raptors,F,1,"Watson, Paul (TW)",6 ft 6 in (1.98 m),210 lb (95 kg),1994–12–30,Fresno State
Chicago Bulls,G,51,"Arcidiacono, Ryan",6 ft 3 in (1.91 m),195 lb (88 kg),1994–03–26,Villanova
Chicago Bulls,F/C,34,"Carter, Wendell",6 ft 9 in (2.06 m),270 lb (122 kg),1999–04–16,Duke
Chicago Bulls,G,32,"Dunn, Kris (FA)",6 ft 3 in (1.91 m),205 lb (93 kg),1994–03–18,Providence
Chicago Bulls,F/C,6,"Felício, Cristiano",6 ft 10 in (2.08 m),270 lb (122 kg),1992–07–07,CCSE Prep Academy (CA)
Chicago Bulls,F/C,12,"Gafford, Daniel",6 ft 10 in (2.08 m),234 lb (106 kg),1998–10–01,Arkansas
Chicago Bulls,G,3,"Harrison, Shaquille (FA)",6 ft 7 in (2.01 m),190 lb (86 kg),1993–10–06,Tulsa
Chicago Bulls,G/F,15,"Hutchison, Chandler",6 ft 7 in (2.01 m),210 lb (95 kg),1996–04–26,Boise State
Chicago Bulls,F/C,2,"Kornet, Luke",7 ft 2 in (2.18 m),250 lb (113 kg),1995–07–15,Vanderbilt
Chicago Bulls,G/F,8,"LaVine, Zach",6 ft 6 in (1.98 m),200 lb (91 kg),1995–03–10,UCLA
Chicago Bulls,F/C,24,"Markkanen, Lauri",7 ft 0 in (2.13 m),240 lb (109 kg),1997–05–22,Arizona
Chicago Bulls,G,20,"Mokoka, Adam (TW)",6 ft 5 in (1.96 m),190 lb (86 kg),1998–07–18,France
Chicago Bulls,F,22,"Porter, Otto",6 ft 8 in (2.03 m),198 lb (90 kg),1993–06–03,Georgetown
Chicago Bulls,G,31,"Satoranský, Tomáš",6 ft 7 in (2.01 m),210 lb (95 kg),1991–10–30,Czech Republic
Chicago Bulls,G/F,28,"Strus, Max  (TW)",6 ft 5 in (1.96 m),215 lb (98 kg),1996–03–28,DePaul
Chicago Bulls,G,45,"Valentine, Denzel (FA)",6 ft 4 in (1.93 m),220 lb (100 kg),1993–11–16,Michigan State
Chicago Bulls,G,0,"White, Coby",6 ft 4 in (1.93 m),195 lb (88 kg),2000–02–16,North Carolina
Chicago Bulls,F,21,"Young, Thaddeus",6 ft 8 in (2.03 m),235 lb (107 kg),1988–06–21,Georgia Tech
Cleveland Cavaliers,F,–,"Bell, Jordan",6 ft 9 in (2.06 m),224 lb (102 kg),1995–01–07,Oregon
Cleveland Cavaliers,G,18,"Dellavedova, Matthew",6 ft 3 in (1.91 m),200 lb (91 kg),1990–09–08,Saint Mary's
Cleveland Cavaliers,C,3,"Drummond, Andre",6 ft 10 in (2.08 m),279 lb (127 kg),1993–08–10,Connecticut
Cleveland Cavaliers,G,1,"Exum, Dante",6 ft 5 in (1.96 m),214 lb (97 kg),1995–07–13,Australia
Cleveland Cavaliers,G,10,"Garland, Darius",6 ft 1 in (1.85 m),192 lb (87 kg),2000–01–26,Vanderbilt
Cleveland Cavaliers,F/C,0,"Love, Kevin",6 ft 8 in (2.03 m),251 lb (114 kg),1988–09–07,UCLA
Cleveland Cavaliers,F,28,"McKinnie, Alfonzo",6 ft 7 in (2.01 m),215 lb (98 kg),1992–09–17,Green Bay
Cleveland Cavaliers,G,31,"Mooney, Matt (TW)",6 ft 2 in (1.88 m),199 lb (90 kg),1995–02–07,Texas Tech
Cleveland Cavaliers,F/C,22,"Nance, Larry",6 ft 7 in (2.01 m),245 lb (111 kg),1993–01–01,Wyoming
Cleveland Cavaliers,F,16,"Osman, Cedi",6 ft 7 in (2.01 m),230 lb (104 kg),1995–04–08,Turkey
Cleveland Cavaliers,G/F,15,"Pointer, Sir'Dominic",6 ft 6 in (1.98 m),192 lb (87 kg),1992–05–06,St. John's
Cleveland Cavaliers,G/F,4,"Porter, Kevin ",6 ft 4 in (1.93 m),203 lb (92 kg),2000–05–04,Southern California
Cleveland Cavaliers,G,2,"Sexton, Collin",6 ft 1 in (1.85 m),190 lb (86 kg),1999–01–04,Alabama
Cleveland Cavaliers,F/C,13,"Thompson, Tristan",6 ft 9 in (2.06 m),254 lb (115 kg),1991–03–13,Texas
Cleveland Cavaliers,F/C,32,"Wade, Dean",6 ft 9 in (2.06 m),228 lb (103 kg),1996–11–20,Kansas State
Cleveland Cavaliers,G/F,9,"Windler, Dylan ",6 ft 6 in (1.98 m),196 lb (89 kg),1996–09–22,Belmont
Cleveland Cavaliers,C,41,"Žižić, Ante",6 ft 10 in (2.08 m),266 lb (121 kg),1997–01–04,Croatia
Detroit Pistons,G,18,"Bone, Jordan (TW, FA)",6 ft 3 in (1.91 m),180 lb (82 kg),1997–11–05,Tennessee
Detroit Pistons,G/F,6,"Brown, Bruce",6 ft 4 in (1.93 m),202 lb (92 kg),1996–08–15,Miami (FL)
Detroit Pistons,F,45,"Doumbouya, Sekou",6 ft 8 in (2.03 m),230 lb (104 kg),2000–12–23,France
Detroit Pistons,G,9,"Galloway, Langston (FA)",6 ft 1 in (1.85 m),200 lb (91 kg),1991–12–09,Saint Joseph's
Detroit Pistons,F,23,"Griffin, Blake ",6 ft 9 in (2.06 m),250 lb (113 kg),1989–03–16,Oklahoma
Detroit Pistons,F/C,31,"Henson, John (FA)",6 ft 9 in (2.06 m),219 lb (99 kg),1990–12–28,North Carolina
Detroit Pistons,G,5,"Kennard, Luke ",6 ft 5 in (1.96 m),206 lb (93 kg),1996–06–24,Duke
Detroit Pistons,F,14,"King, Louis (TW, FA)",6 ft 7 in (2.01 m),205 lb (93 kg),1999–04–06,Oregon
Detroit Pistons,G,20,"Knight, Brandon (FA)",6 ft 2 in (1.88 m),182 lb (83 kg),1991–12–02,Kentucky
Detroit Pistons,F/C,7,"Maker, Thon (FA)",7 ft 0 in (2.13 m),221 lb (100 kg),1997–02–25,Orangeville Prep (CAN)
Detroit Pistons,G,52,"McRae, Jordan (FA)",6 ft 5 in (1.96 m),179 lb (81 kg),1991–03–28,Tennessee
Detroit Pistons,G/F,19,"Mykhailiuk, Sviatoslav",6 ft 7 in (2.01 m),205 lb (93 kg),1997–06–10,Kansas
Detroit Pistons,C,—,"Patton, Justin",6 ft 11 in (2.11 m),241 lb (109 kg),1997–06–14,Creighton
Detroit Pistons,G,25,"Rose, Derrick ",6 ft 2 in (1.88 m),200 lb (91 kg),1988–10–04,Memphis
Detroit Pistons,G,17,"Snell, Tony",6 ft 6 in (1.98 m),213 lb (97 kg),1991–11–10,New Mexico
Detroit Pistons,G,13,"Thomas, Khyri",6 ft 3 in (1.91 m),210 lb (95 kg),1996–05–08,Creighton
Detroit Pistons,F,35,"Wood, Christian (FA)",6 ft 10 in (2.08 m),214 lb (97 kg),1995–09–27,UNLV
Indiana Pacers,F/C,88,"Bitadze, Goga",6 ft 11 in (2.11 m),250 lb (113 kg),1999–07–20,Georgia
Indiana Pacers,G/F,10,"Bowen, Brian (TW)",6 ft 6 in (1.98 m),190 lb (86 kg),1998–10–02,La Lumiere (IN)
Indiana Pacers,G,7,"Brogdon, Malcolm",6 ft 5 in (1.96 m),229 lb (104 kg),1992–12–11,Virginia
Indiana Pacers,G,3,"Holiday, Aaron",6 ft 0 in (1.83 m),185 lb (84 kg),1996–09–30,UCLA
Indiana Pacers,G/F,8,"Holiday, Justin",6 ft 6 in (1.98 m),180 lb (82 kg),1989–04–05,Washington
Indiana Pacers,F,24,"Johnson, Alize",6 ft 7 in (2.01 m),212 lb (96 kg),1996–04–22,Missouri State
Indiana Pacers,G/F,26,"Lamb, Jeremy",6 ft 5 in (1.96 m),180 lb (82 kg),1992–05–30,Connecticut
Indiana Pacers,F,22,"Leaf, T. J.",6 ft 10 in (2.08 m),222 lb (101 kg),1997–04–30,UCLA
Indiana Pacers,G,9,"McConnell, T. J.",6 ft 1 in (1.85 m),190 lb (86 kg),1992–03–25,Arizona
Indiana Pacers,F,20,"McDermott, Doug",6 ft 7 in (2.01 m),225 lb (102 kg),1992–01–03,Creighton
Indiana Pacers,G,15,"Mitrou-Long, Naz (TW)",6 ft 3 in (1.91 m),218 lb (99 kg),1993–08–03,Iowa State
Indiana Pacers,G,4,"Oladipo, Victor",6 ft 4 in (1.93 m),213 lb (97 kg),1992–05–04,Indiana
Indiana Pacers,F/C,11,"Sabonis, Domantas",6 ft 11 in (2.11 m),240 lb (109 kg),1996–05–03,Gonzaga
Indiana Pacers,F,14,"Sampson, JaKarr",6 ft 7 in (2.01 m),214 lb (97 kg),1993–02–20,St. John's
Indiana Pacers,G,5,"Sumner, Edmond",6 ft 4 in (1.93 m),196 lb (89 kg),1995–12–31,Xavier
Indiana Pacers,F/C,33,"Turner, Myles",6 ft 11 in (2.11 m),250 lb (113 kg),1996–03–24,Texas
Indiana Pacers,F,1,"Warren, T. J.",6 ft 8 in (2.03 m),220 lb (100 kg),1993–09–05,North Carolina State
Milwaukee Bucks,F,34,"Antetokounmpo, Giannis",6 ft 11 in (2.11 m),242 lb (110 kg),1994–12–06,Greece
Milwaukee Bucks,F,43,"Antetokounmpo, Thanasis",6 ft 6 in (1.98 m),219 lb (99 kg),1992–07–18,Greece
Milwaukee Bucks,G,6,"Bledsoe, Eric",6 ft 1 in (1.85 m),214 lb (97 kg),1989–12–09,Kentucky
Milwaukee Bucks,G/F,23,"Brown, Sterling",6 ft 5 in (1.96 m),219 lb (99 kg),1995–02–10,SMU
Milwaukee Bucks,G,24,"Connaughton, Pat",6 ft 5 in (1.96 m),209 lb (95 kg),1993–01–06,Notre Dame
Milwaukee Bucks,G,0,"DiVincenzo, Donte",6 ft 4 in (1.93 m),203 lb (92 kg),1997–01–31,Villanova
Milwaukee Bucks,G,3,"Hill, George",6 ft 3 in (1.91 m),188 lb (85 kg),1986–05–04,IUPUI
Milwaukee Bucks,F,7,"İlyasova, Ersan",6 ft 9 in (2.06 m),235 lb (107 kg),1987–05–15,Turkey
Milwaukee Bucks,G/F,26,"Korver, Kyle",6 ft 7 in (2.01 m),212 lb (96 kg),1981–03–17,Creighton
Milwaukee Bucks,C,11,"Lopez, Brook",7 ft 0 in (2.13 m),282 lb (128 kg),1988–04–01,Stanford
Milwaukee Bucks,C,42,"Lopez, Robin",7 ft 0 in (2.13 m),281 lb (127 kg),1988–04–01,Stanford
Milwaukee Bucks,G,15,"Mason, Frank (TW)",5 ft 11 in (1.80 m),190 lb (86 kg),1994–04–03,Kansas
Milwaukee Bucks,G,9,"Matthews, Wesley",6 ft 4 in (1.93 m),220 lb (100 kg),1986–10–14,Marquette
Milwaukee Bucks,F,22,"Middleton, Khris",6 ft 7 in (2.01 m),222 lb (101 kg),1991–08–12,Texas A&M
Milwaukee Bucks,G/F,13,"Reynolds, Cameron (TW)",6 ft 7 in (2.01 m),225 lb (102 kg),1995–02–07,Tulane
Milwaukee Bucks,F,20,"Williams, Marvin",6 ft 8 in (2.03 m),237 lb (108 kg),1986–06–19,North Carolina
Milwaukee Bucks,F,5,"Wilson, D. J.",6 ft 10 in (2.08 m),231 lb (105 kg),1996–02–19,Michigan
Atlanta Hawks,G/F,95,"Bembry, DeAndre' (FA)",6 ft 5 in (1.96 m),210 lb (95 kg),1994–07–04,Saint Joseph's
Atlanta Hawks,G,4,"Brown, Charlie (TW, FA)",6 ft 6 in (1.98 m),199 lb (90 kg),1998–02–02,Saint Joseph's
Atlanta Hawks,F/C,17,"Capela, Clint",6 ft 10 in (2.08 m),240 lb (109 kg),1994–05–18,Switzerland
Atlanta Hawks,F,20,"Collins, John",6 ft 9 in (2.06 m),235 lb (107 kg),1997–09–23,Wake Forest
Atlanta Hawks,C,14,"Dedmon, Dewayne",7 ft 0 in (2.13 m),245 lb (111 kg),1989–08–12,Southern California
Atlanta Hawks,F/C,24,"Fernando, Bruno",6 ft 9 in (2.06 m),240 lb (109 kg),1998–08–15,Maryland
Atlanta Hawks,G,0,"Goodwin, Brandon (FA)",6 ft 0 in (1.83 m),180 lb (82 kg),1995–10–02,Florida Gulf Coast
Atlanta Hawks,G/F,2,"Graham, Treveon",6 ft 5 in (1.96 m),219 lb (99 kg),1993–10–28,Virginia Commonwealth
Atlanta Hawks,G/F,3,"Huerter, Kevin",6 ft 7 in (2.01 m),190 lb (86 kg),1998–08–27,Maryland
Atlanta Hawks,G/F,12,"Hunter, De'Andre",6 ft 7 in (2.01 m),225 lb (102 kg),1997–12–02,Virginia
Atlanta Hawks,C,30,"Jones, Damian (FA)",6 ft 11 in (2.11 m),245 lb (111 kg),1995–06–30,Vanderbilt
Atlanta Hawks,F,7,"Labissière, Skal (FA)",6 ft 10 in (2.08 m),235 lb (107 kg),1996–03–18,Kentucky
Atlanta Hawks,G/F,22,"Reddish, Cam",6 ft 8 in (2.03 m),218 lb (99 kg),1999–09–01,Duke
Atlanta Hawks,G,0,"Teague, Jeff (FA)",6 ft 3 in (1.91 m),195 lb (88 kg),1988–06–10,Wake Forest
Atlanta Hawks,G,11,"Young, Trae",6 ft 1 in (1.85 m),180 lb (82 kg),1998–09–19,Oklahoma
Charlotte Hornets,G/F,7,"Bacon, Dwayne (FA)",6 ft 6 in (1.98 m),221 lb (100 kg),1995–08–30,Florida State
Charlotte Hornets,G/F,5,"Batum, Nicolas ",6 ft 9 in (2.06 m),230 lb (104 kg),1988–12–14,France
Charlotte Hornets,C,8,"Biyombo, Bismack (FA)",6 ft 8 in (2.03 m),255 lb (116 kg),1992–08–28,Republic of the Congo
Charlotte Hornets,F,0,"Bridges, Miles",6 ft 6 in (1.98 m),225 lb (102 kg),1998–03–21,Michigan State
Charlotte Hornets,G,31,"Chealey, Joe",6 ft 4 in (1.93 m),190 lb (86 kg),1995–11–01,College of Charleston
Charlotte Hornets,G,4,"Graham, Devonte'",6 ft 1 in (1.85 m),195 lb (88 kg),1995–02–22,Kansas
Charlotte Hornets,F/C,9,"Hernangómez, Willy (FA)",6 ft 11 in (2.11 m),250 lb (113 kg),1994–05–27,Spain
Charlotte Hornets,F,10,"Martin, Caleb",6 ft 5 in (1.96 m),205 lb (93 kg),1995–09–28,Nevada
Charlotte Hornets,F,11,"Martin, Cody",6 ft 5 in (1.96 m),205 lb (93 kg),1995–09–28,Nevada
Charlotte Hornets,F/C,6,"McDaniels, Jalen",6 ft 10 in (2.08 m),205 lb (93 kg),1998–01–31,San Diego State
Charlotte Hornets,G,1,"Monk, Malik (S)",6 ft 3 in (1.91 m),200 lb (91 kg),1998–02–04,Kentucky
Charlotte Hornets,G,3,"Rozier, Terry",6 ft 1 in (1.85 m),190 lb (86 kg),1994–03–17,Louisville
Charlotte Hornets,G,23,"Simmons, Kobi (TW, FA)",6 ft 5 in (1.96 m),180 lb (82 kg),1997–07–04,Arizona
Charlotte Hornets,F,26,"Spalding, Ray (TW)",6 ft 9 in (2.06 m),225 lb (102 kg),1997–03–11,Louisville
Charlotte Hornets,F,25,"Washington, P. J.",6 ft 7 in (2.01 m),230 lb (104 kg),1998–08–23,Kentucky
Charlotte Hornets,F/C,40,"Zeller, Cody",7 ft 0 in (2.13 m),240 lb (109 kg),1992–10–05,Indiana
Miami Heat,F/C,13,"Adebayo, Bam",6 ft 9 in (2.06 m),255 lb (116 kg),1997–07–18,Kentucky
Miami Heat,F/C,17,"Alexander, Kyle (TW)",6 ft 10 in (2.08 m),216 lb (98 kg),1996–10–21,Tennessee
Miami Heat,F,22,"Butler, Jimmy (C)",6 ft 7 in (2.01 m),230 lb (104 kg),1989–09–14,Marquette
Miami Heat,F,99,"Crowder, Jae",6 ft 6 in (1.98 m),235 lb (107 kg),1990–07–06,Marquette
Miami Heat,G,7,"Dragić, Goran",6 ft 3 in (1.91 m),190 lb (86 kg),1986–05–06,Slovenia
Miami Heat,F,40,"Haslem, Udonis (C)",6 ft 8 in (2.03 m),235 lb (107 kg),1980–06–09,Florida
Miami Heat,G,14,"Herro, Tyler",6 ft 5 in (1.96 m),195 lb (88 kg),1/20/2000,Kentucky
Miami Heat,F,44,"Hill, Solomon",6 ft 6 in (1.98 m),226 lb (103 kg),1991–03–18,Arizona
Miami Heat,G/F,28,"Iguodala, Andre",6 ft 6 in (1.98 m),215 lb (98 kg),1984–01–28,Arizona
Miami Heat,F,5,"Jones, Derrick",6 ft 6 in (1.98 m),210 lb (95 kg),1997–02–15,UNLV
Miami Heat,F/C,0,"Leonard, Meyers",7 ft 0 in (2.13 m),260 lb (118 kg),1992–02–27,Illinois
Miami Heat,G,25,"Nunn, Kendrick",6 ft 2 in (1.88 m),190 lb (86 kg),1995–08–03,Oakland
Miami Heat,G/F,4,"Okpala, KZ",6 ft 8 in (2.03 m),215 lb (98 kg),1999–04–28,Stanford
Miami Heat,F/C,9,"Olynyk, Kelly",6 ft 11 in (2.11 m),240 lb (109 kg),1991–04–19,Gonzaga
